archetype_id,category_code,name_ko,primary_entity_unit,estimate_status,count_low,count_base,count_high,confidence_grade,rule_hash
ARC-01-001,life_stage,전국 청년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,144b9f655b02161b1aeb84eb1d82bf0cdec3841e340bbc8f9847e5fd125501f2
ARC-01-002,life_stage,전국 청년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,c54b7e517b729c00d56e8fe69d6d64e191da526b0900121283764efacb965557
ARC-01-003,life_stage,전국 청년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,b38ccc3328079a99c43a9537f750d59464b46056d7109ce452699a2966ceebea
ARC-01-004,life_stage,전국 청년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,8c8641f110762c18ad4bfb34a608416f8b0d765694018c04cd43a936f74e2e1d
ARC-01-005,life_stage,전국 가족형성기·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,c4e3180d320acf3d129d07e9e22d0168d991b7dbb756ec051c228792bc565925
ARC-01-006,life_stage,전국 가족형성기·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,f5d4d726bc474a21b3561c36b69ee5451b1035266599d5060c103075c8f95ce2
ARC-01-007,life_stage,전국 가족형성기·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,02524275c284d9c55a1bbdbbb476443157245ddebad09ab82863576b22cfd786
ARC-01-008,life_stage,전국 가족형성기·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,7c8afe7a5679fb5fd01508c88fb47a89deee38a533d2257ef2eadaa1c95d5c8a
ARC-01-009,life_stage,전국 중년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,5cf1097aadc0f8c36c6a92c4ab3765fe4419589625d983f4e9651485ce5a0d58
ARC-01-010,life_stage,전국 중년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,cd5fda994aece275d3954846879f769236a153585de40894b1fe0e41950a01a3
ARC-01-011,life_stage,전국 중년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,8d09d0e3525776db1d0ff4919c6986692c824d611b653852840346854e930985
ARC-01-012,life_stage,전국 중년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,ca701c27bca0d198fc31fdc3d3e57e65feee72ca1a18d995e7eed6d77e00767f
ARC-01-013,life_stage,전국 시니어·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,cb633e46f19a7c8172a1c81e44bf119c25b5d186f4dbea1341fc5170d8ece709
ARC-01-014,life_stage,전국 시니어·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,18b2545656fe3022d4f8d53d084a85ba49f5f1802a32c3dd754afb00e347b176
ARC-01-015,life_stage,전국 시니어·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,ba025720c94c8a215b1d3af4155245f02f2168aa4414b5eb9080bbcb1024a9cf
ARC-01-016,life_stage,전국 시니어·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,3853d269553f7832f63682052fe81f30a856d8d3146ec40c18ec4a7edcf6a9c3
ARC-01-017,life_stage,수도권 청년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,656f7f3282b469cd7db2c0715d9e74e7dabd6f82b391f1b32142781439143db4
ARC-01-018,life_stage,수도권 청년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,7a24100eca13e5e4b9f3764710fd5a366d9e0983a078ddaeed167f68f9ce3656
ARC-01-019,life_stage,수도권 청년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,1163d32a1c5061c117a4ccb1de56e99b567258d8384c24f2816159e485ba858e
ARC-01-020,life_stage,수도권 청년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,902b4f8e3291737be41bc6989e48cdf238b7798fa02cae7a6deb28f8b687d76c
ARC-01-021,life_stage,수도권 가족형성기·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,5908d83cf457e1b1308a35be718858ab6173ae55d50414ef1d6e0ac0b5ee5871
ARC-01-022,life_stage,수도권 가족형성기·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,011004df7c2f5dc3d859976fffa80634a1ff2260e1144dcc858cffb1e60946d2
ARC-01-023,life_stage,수도권 가족형성기·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,bca777437a2e8964e312ba201b281072e171b3428f6c7327c74d15f928528f1d
ARC-01-024,life_stage,수도권 가족형성기·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,f89b71d1c65f5bb2876ec188a8928131394a81fff55ca63c08df5ac06c7406e7
ARC-01-025,life_stage,수도권 중년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,e6a5b7de05b06fc2b970ff1456b270de7cf06e5de4d6ac56df4f525d855b0cf7
ARC-01-026,life_stage,수도권 중년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,0709b4f817184795de2786fa78bb0dd2d80f2f92c8ac43c18bc33977c6cb7d3a
ARC-01-027,life_stage,수도권 중년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,c7d95696f9275e95e8faad754c46808d0cf87dcb1892f31011218458d6c701ff
ARC-01-028,life_stage,수도권 중년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,e66c93c04541ff76d6c8d0e3af176fee3f23b811e4d8c6f2cf8e273cab0ad507
ARC-01-029,life_stage,수도권 시니어·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,17f3cc94d586864996b3c3e908c10f5282316186cb7f521927497b4441d8c275
ARC-01-030,life_stage,수도권 시니어·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,f6c21a966ec41094d350c5e554552dc8e49731fa3aea48d02f98e68a6129a52d
ARC-01-031,life_stage,수도권 시니어·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,78042a7c1448dadee4e139cc53d32a81dd258c3b843bab595e3e7853b1820e85
ARC-01-032,life_stage,수도권 시니어·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,441e4083b1af95b11662d2636d2581a78d05b0d24454f3fcd67949c91f59c3ab
ARC-01-033,life_stage,충청권 청년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,1b2f307827c35c34938123cd45a091b016fb2aab5637d78f0d1fd7d43e1029c7
ARC-01-034,life_stage,충청권 청년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,eeb9ae18d5ac22e9d2dd336b9a45948d547aeecbd2bfdf1322e55c536bbab511
ARC-01-035,life_stage,충청권 청년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,be45dfe844efa8650bdf2f78f847aa63cf6914d214f769acb7e4d22e72d7f512
ARC-01-036,life_stage,충청권 청년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,a77e1b901f1769226c73d3fa82289b685e7a08cb653c66ab942bf7dcb905c9f7
ARC-01-037,life_stage,충청권 가족형성기·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,d1908203f3c1fa674bf1b8b9cffbd4d8640bed91b0fbdf53d953805189fb353a
ARC-01-038,life_stage,충청권 가족형성기·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,986c35a0bcaa5b9f087c8656c559e7c050c001d8d4d3a7c52303b3afa1a0aba7
ARC-01-039,life_stage,충청권 가족형성기·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,2e1cc81af6b4027883aa023cd482a6f99ef48e6e3345c731940acffa611ec0cd
ARC-01-040,life_stage,충청권 가족형성기·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,a2dc491337e313998fa634861e5cb72b499a356de01587431b25b5c26c7fb8aa
ARC-01-041,life_stage,충청권 중년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,7733f34449483327a25a856dd1920399b25d26e554a1911defde030a2ab96436
ARC-01-042,life_stage,충청권 중년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,3f4443472ca9e33934077774dd693db1c64815f05645f14d7f5521eb0826181f
ARC-01-043,life_stage,충청권 중년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,6986b33b70f98405f9470b2d77e21955bfa1da0f066934d25838356c663fcb56
ARC-01-044,life_stage,충청권 중년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,7f3419b845a9d66fee496f08b71710ef0350855ae4c4298906faf1363e18cdf4
ARC-01-045,life_stage,충청권 시니어·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,27f90e2ae59dbe6b583b9b507be48adaf0161b94babf60a4dd34cb4e6f6d1dd2
ARC-01-046,life_stage,충청권 시니어·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,305c00be465fe80864d723e87e0aeb7ce08727eafd2c1b738991023c569f840d
ARC-01-047,life_stage,충청권 시니어·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,5dffb5153ece0b6a43b8ead2e35e9598a3e5f7c4c8700507361b16bbcf26b946
ARC-01-048,life_stage,충청권 시니어·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,5e2e834d3a1ea45e4009603616e4f0aeab47682f39f33c5df0ba14d0ca2053b1
ARC-01-049,life_stage,호남권 청년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,74cc0f760331aa793af5ba75e130dddfde35e7a71a4d67eea1f9c0107099ef52
ARC-01-050,life_stage,호남권 청년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,5b251f1a1e509ff88619551ba41f554ebe54445d82ce62bf05903869f8bd14fb
ARC-01-051,life_stage,호남권 청년·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,505eb9024a961196adb4be4bdb74c24d40055e1c1464a3e4a35be241661fc870
ARC-01-052,life_stage,호남권 청년·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,5358e69561b5f5be659c636a9b9e246df780f49a60433505f70995a4e72f2f87
ARC-01-053,life_stage,호남권 가족형성기·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,a163be2c72ae90c3012baa1e2aa77db7924125c5eaa07e9907d52b6a40189cbf
ARC-01-054,life_stage,호남권 가족형성기·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,bc3191edf555a0acf1df5df858e5de875de90cbb17e8cce760ef6db5fed56f08
ARC-01-055,life_stage,호남권 가족형성기·1인가구 지향 생애주기·핵심 인구통계,person,not_estimable,,,,E,0bced2254ca99092f3342606d469c0e176a53cb34c21429ae9f1f3cd046666a9
ARC-01-056,life_stage,호남권 가족형성기·돌봄 병행 생애주기·핵심 인구통계,person,not_estimable,,,,E,d2becbb6721ebfce66ac0ea904566afefe568242610138b35dd7d3f50e6978f1
ARC-01-057,life_stage,호남권 중년·전환기 생애주기·핵심 인구통계,person,not_estimable,,,,E,0315e85b1a0e14c879bfe966d7fb7f170c885fc5ddf810eae1754c0993cecac7
ARC-01-058,life_stage,호남권 중년·안정기 생애주기·핵심 인구통계,person,not_estimable,,,,E,f516b2c38365e60bc22fad9e9672ac35fc45a03523d6591afb61ac23e56210fe
