control_id,entity_unit,geography_code,period,dimensions_json,count_low,count_base,count_high,method_code,release_id,evidence_locator,model_version
CTL-CHILD-0-14-2024,child_person,KR,2024-11-01,"{""age_max"":14,""age_min"":0}",5421000.0,5421000.0,5421000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.17–19: age 0–14 population 5,421 thousand",kr-v0.1.0
CTL-MINOR-0-18-2024-12,child_person,KR,2024-12-31,"{""age_max"":18,""age_min"":0,""universe"":""resident_registration_excludes_foreigners""}",7324873.0,7324873.0,7324873.0,official_direct,REL-MOIS-AGE-2024-12,"national row: age-range population, exact ages 0–18",kr-v0.1.0
CTL-ENT-ALL-2024,enterprise,KR,2024-12-31,"{""enterprise_status"":""active"",""preliminary"":true}",7641500.0,7642000.0,7642499.0,official_rounded_thousand,REL-KOSTAT-BD-2024-P,"p.4 table 2: all-industry active enterprises 7,642 thousand",kr-v0.1.0
CTL-ENT-I56-2023,enterprise,KR,2023-12-31,"{""industry_code"":""I56"",""small_business"":true}",745196.0,745196.0,745196.0,official_cross_tab,REL-MSS-SB-2023,p.201 table 38: restaurant and bar enterprises,kr-v0.1.0
CTL-EST-ALL-2024,establishment,KR,2024-12-31,{},6353673.0,6353673.0,6353673.0,official_direct,REL-KOSTAT-EST-2024-P,p.4–5: all establishments,kr-v0.1.0
CTL-EST-I-2024,establishment,KR,2024-12-31,"{""industry_code"":""I""}",858373.0,858373.0,858373.0,official_direct,REL-KOSTAT-EST-2024-P,p.5 table: accommodation and food services,kr-v0.1.0
CTL-HH-CHILD18-2024,household,KR,2024-11-01,"{""children_age_max"":18}",4517000.0,4517000.0,4517000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.99: households with children age 18 or younger 4,517 thousand",kr-v0.1.0
CTL-HH-GENERAL-2024,household,KR,2024-11-01,"{""household_scope"":""general""}",22294000.0,22294000.0,22294000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: general households 22,294 thousand",kr-v0.1.0
CTL-HH-GENERAL-SIZE1-2024,household,KR,2024-11-01,"{""household_scope"":""general"",""household_size"":1}",8045000.0,8045000.0,8045000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: one-person general households 8,045 thousand",kr-v0.1.0
CTL-HH-GENERAL-SIZE2-2024,household,KR,2024-11-01,"{""household_scope"":""general"",""household_size"":2}",6476000.0,6476000.0,6476000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: two-person general households 6,476 thousand",kr-v0.1.0
CTL-HH-GENERAL-SIZE3-2024,household,KR,2024-11-01,"{""household_scope"":""general"",""household_size"":3}",4202000.0,4202000.0,4202000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: three-person general households 4,202 thousand",kr-v0.1.0
CTL-HH-GENERAL-SIZE4P-2024,household,KR,2024-11-01,"{""household_scope"":""general"",""household_size_min"":4}",3571000.0,3571000.0,3571000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: four-or-more-person general households 3,571 thousand",kr-v0.1.0
CTL-HH-TOTAL-2024,household,KR,2024-11-01,"{""household_scope"":""total""}",22997000.0,22997000.0,22997000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.47: total households 22,997 thousand",kr-v0.1.0
CTL-ADULT-19P-RESIDENT-2024-12,person,KR,2024-12-31,"{""age_min"":19,""universe"":""resident_registration_excludes_foreigners""}",43892348.0,43892348.0,43892348.0,official_derived_difference,REL-MOIS-AGE-2024-12,"national total 51,217,221 minus exact ages 0–18 total 7,324,873",kr-v0.1.0
CTL-POP-2024,person,KR,2024-11-01,{},51806000.0,51806000.0,51806000.0,official_direct,REL-KOSTAT-CENSUS-2024,"p.9, p.15 lines: total population 51,806 thousand",kr-v0.1.0
CTL-POP-RESIDENT-2024-12,person,KR,2024-12-31,"{""universe"":""resident_registration_excludes_foreigners""}",51217221.0,51217221.0,51217221.0,official_direct,REL-MOIS-AGE-2024-12,national row: total resident-registration population,kr-v0.1.0
