exact_age,school_stage,count,source_release_id,reference_period
0,infant,235337,REL-MOIS-AGE-2024-12,2024-12-31
1,infant,234405,REL-MOIS-AGE-2024-12,2024-12-31
2,infant,254654,REL-MOIS-AGE-2024-12,2024-12-31
3,preschool,267456,REL-MOIS-AGE-2024-12,2024-12-31
4,preschool,279924,REL-MOIS-AGE-2024-12,2024-12-31
5,preschool,309988,REL-MOIS-AGE-2024-12,2024-12-31
6,elementary_age,334145,REL-MOIS-AGE-2024-12,2024-12-31
7,elementary_age,365050,REL-MOIS-AGE-2024-12,2024-12-31
8,elementary_age,413851,REL-MOIS-AGE-2024-12,2024-12-31
9,elementary_age,445308,REL-MOIS-AGE-2024-12,2024-12-31
10,elementary_age,441402,REL-MOIS-AGE-2024-12,2024-12-31
11,elementary_age,442088,REL-MOIS-AGE-2024-12,2024-12-31
12,middle_school_age,490336,REL-MOIS-AGE-2024-12,2024-12-31
13,middle_school_age,476596,REL-MOIS-AGE-2024-12,2024-12-31
14,middle_school_age,473881,REL-MOIS-AGE-2024-12,2024-12-31
15,high_school_age,448184,REL-MOIS-AGE-2024-12,2024-12-31
16,high_school_age,468559,REL-MOIS-AGE-2024-12,2024-12-31
17,high_school_age,495166,REL-MOIS-AGE-2024-12,2024-12-31
18,age_18_transition,448543,REL-MOIS-AGE-2024-12,2024-12-31
