age_band,sex,sample_n,official_target,calibration_weight,post_weighted_count,relative_error
19,female,5141,,,,
19,male,5350,,,,
20-29,female,64162,2968000.0,46.25790966615754,2968000.0,0.0
20-29,male,70849,3334000.0,47.057827209981795,3334000.0,0.0
30-39,female,71134,3246000.0,45.63218713976439,3246000.0,0.0
30-39,male,78525,3702000.0,47.14422158548233,3701999.9999999995,-1.2578640932137743e-16
40-49,female,85960,3811000.0,44.3345742205677,3810999.9999999995,-1.2218873978161618e-16
40-49,male,89687,3998000.0,44.57725199861741,3998000.0,0.0
50-59,female,99365,4336000.0,43.63709555678559,4336000.0,0.0
50-59,male,99385,4377000.0,44.040851235095836,4377000.0,0.0
60-69,female,91047,3969000.0,43.592869616791326,3969000.0,0.0
60-69,male,87691,3821000.0,43.57345679716276,3821000.0,0.0
70-79,female,51801,2233000.0,43.10727592131426,2233000.0,0.0
70-79,male,44757,1900000.0,42.45146010679893,1899999.9999999998,-1.2254244402835242e-16
80-89,female,30051,1315000.0,43.75894313001231,1315000.0,0.0
80-89,male,17564,768000.0,43.72580277841038,768000.0,0.0
90+,female,5781,251000.0,43.418093755405636,250999.99999999997,-1.159515157638793e-16
90+,male,1750,76000.0,43.42857142857143,76000.0,0.0
