phase1_archetype_id,subtype_id,share_low,share_base,share_high,count_low,count_base,count_high,denominator_count_base,allocation_formula,conditional_method,model_version,run_id
ARC-05-001,DOM-23-SUB-01,0.19939005462498946,0.2828091352517803,0.3662282158785712,243479.02917576485,767430.3829875184,1987592.5133911192,2713598.2800000003,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-001,DOM-23-SUB-02,0.25815972722066377,0.33217483634377837,0.40618994546689297,315243.80628806807,901389.0645617585,2204472.674744509,2713598.2800000003,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-001,DOM-23-SUB-03,0.31108929347890135,0.38501602840444127,0.4589427633299812,379877.1172698429,1044778.832450723,2490772.5863813683,2713598.2800000003,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-002,DOM-23-SUB-01,0.20551167192967165,0.2914918616773065,0.37747205142494134,246259.04244561563,776192.8076432034,2010286.5974811884,2662828.4,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-002,DOM-23-SUB-02,0.2543772347381153,0.32730789278566036,0.4002385508332054,304813.316238354,871564.7524538115,2131533.159867006,2662828.4,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-002,DOM-23-SUB-03,0.3080061771701851,0.38120024553703313,0.4543943139038812,369075.4181748902,1015070.839902985,2419948.1677235393,2662828.4,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-003,DOM-23-SUB-01,0.1730601611382694,0.2454635694347903,0.3178669777313112,249493.45641225338,786387.4743361002,2036690.0910677188,3203683.0400000005,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-003,DOM-23-SUB-02,0.25545717871803647,0.3286974596970173,0.40193774067599813,368281.7239073501,1053042.476922418,2575362.2458792273,3203683.0400000005,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-003,DOM-23-SUB-03,0.34407384319078466,0.4258389708681924,0.5076040985456001,496036.59117207135,1364253.0887414822,3252405.283090056,3203683.0400000005,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-004,DOM-23-SUB-01,0.17356506151766463,0.2461797056530867,0.3187943497885088,208382.9157966073,656809.6702997861,1701092.3887697791,2668009.0,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-004,DOM-23-SUB-02,0.2731081948400505,0.3514090710500142,0.42970994725997785,327894.80481315375,937562.5642430773,2292940.0133582926,2668009.0,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
ARC-05-004,DOM-23-SUB-03,0.3251444457058056,0.40241122329689916,0.47967800088799273,390369.7383493953,1073636.7654571366,2559570.4469423452,2668009.0,"N(P,k)=Σw_i×P(P|x_i)×P(k|P,x_i); implemented as parent exploratory count × normalized conditional soft cluster share",domain soft prevalence with deterministic parent-rule modifier; base shares normalized exactly,kr-v0.2.1,RUN-P2-20260824T170416Z
