case_id,subtype_id,share_low,share_base,share_high,count_low,count_base,count_high,assignment_method,formula,interpretation_confidence_grade,targetability_confidence_grade,model_version,run_id
PARENT-01,DOM-24-SUB-01,0.0,0.007468546451985907,0.07370478245226397,0.0,1269.6528968376042,15478.004314975435,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-01,DOM-24-SUB-02,0.0,0.018409593944803467,0.09302304026483446,0.0,3129.6309706165894,19534.838455615238,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-01,DOM-24-SUB-03,0.0,0.04569886662309334,0.13320907321174555,0.0,7768.807325925867,27973.905374466565,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-01,DOM-24-SUB-04,0.42287155696107814,0.560220393247457,0.6975692295338358,54973.30240494016,95237.4668520677,146489.53820210553,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-01,DOM-24-SUB-05,0.23328798450768135,0.3682025997326604,0.5031172149576395,30327.437985998575,62594.44195455224,105654.6151411043,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_029·P(k|x)/Σw·axis_029",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16-SUB-01,0.0,0.0807544320472,0.1698105393999938,0.0,43772.13234686429,168747.52542334984,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16-SUB-02,0.0,0.07630301056514957,0.1642497786513417,0.0,41359.28384673367,163221.5750369843,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16-SUB-03,0.3163050054589742,0.4409933675575629,0.5656817296561516,85724.98257949119,239036.04495090139,562140.5620285041,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16-SUB-04,0.005217044565936385,0.0982883019309164,0.1913595592958964,1413.9234182600792,53276.19117863392,190161.6484547041,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16-SUB-05,0.0009295776836926867,0.09279969294309894,0.18466980820250517,251.93414383439193,50301.14556287735,183513.77520315748,weighted soft cluster allocation conditional on stored domain-axis score,"N(case,k)=N(case)×Σw·axis_043·P(k|x)/Σw·axis_043",D,E,kr-v0.2.1,RUN-P2-20260824T170416Z
