case_id,domain_id,linked_phase1_archetype_id,name_ko,entity_unit,rule_json,count_low,count_base,count_high,share_low,share_base,share_high,denominator_json,method_code,formula,source_release_ids_json,population_confidence_grade,assumptions_json,validation_gaps_json,conditioning_feature,conditioning_value,conditioning_hard_support,conditioning_effective_sample_size,required_tags_json,evidence_status,model_version,run_id
PARENT-01,DOM-24,ARC-06-001,홈페이지가 없는 60대 음식점 사장 또는 사업체,enterprise,"{""and"":[""restaurant_or_bar_enterprise"",""owner_age_60_69_proxy"",""website_absence_scenario""]}",130000.0,170000.0,210000.0,0.17445074852790407,0.22812790192110532,0.28180505531430655,"{""definition"":""2023 음식점 및 주점업 소상공인 기업체 745,196개"",""linked_phase1_parent"":""ARC-06-001""}",phase1_official_baseline_times_proxy_scenario,"745196 × P(owner age 60–69 | I56) × P(no own website | owner age 60–69, I56)","[""REL-MSS-SB-2023"",""REL-KOSTAT-REA-2024""]",D,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""business_web_presence_unobserved"",""owner_attribute_unobserved"",""missing_joint_distribution""]",small_business_digital.consumption_mode,대표자 직접,128,127.8625501852597,[],phase1_evidence_linked_query_parent,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-02,DOM-16,,초등학생 자녀가 있는 수도권 맞벌이 가구,household,"{""and"":[""capital_region"",""elementary_child"",""dual_income_household""]}",271020.0,542040.0,993740.0,0.06,0.12,0.22,"{""control_id"":""CTL-HH-CHILD18-2024"",""count_base"":4517000.0,""dimensions"":{""children_age_max"":18},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-CHILD18-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",education_learning.decision_unit,보호자·가족,152,151.88300904334778,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-03,DOM-13,,반려동물을 키우면서 국내여행 빈도가 높은 30~40대 가구,household,"{""and"":[""pet_household"",""frequent_domestic_travel"",""adult_age_30_49""]}",68991.0,229970.0,574925.0,0.003,0.01,0.025,"{""control_id"":""CTL-HH-TOTAL-2024"",""count_base"":22997000.0,""dimensions"":{""household_scope"":""total""},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-TOTAL-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",pets.occasion,외출·여행,51,50.955093732012934,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-04,DOM-24,,직원 5명 미만이고 온라인 판매채널이 없는 지방 식품 소매업체,enterprise,"{""and"":[""non_capital_region"",""food_retail"",""employees_under_5"",""no_online_sales_channel""]}",7641.5,30568.0,91709.988,0.001,0.004,0.012,"{""control_id"":""CTL-ENT-ALL-2024"",""count_base"":7642000.0,""dimensions"":{""enterprise_status"":""active"",""preliminary"":true},""entity_unit"":""enterprise"",""period"":""2024-12-31""}",explicit_exploratory_joint_scenario_E,CTL-ENT-ALL-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-BD-2024-P"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",small_business_digital.consumption_mode,대표자 직접,128,127.8625501852597,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-05,DOM-16,,사교육을 이용하지만 현재 서비스에 불만이 있는 중학생 보호자 가구,household,"{""and"":[""middle_school_child"",""private_education_use"",""current_service_dissatisfaction""]}",67755.0,271020.0,632380.0000000001,0.015,0.06,0.14,"{""control_id"":""CTL-HH-CHILD18-2024"",""count_base"":4517000.0,""dimensions"":{""children_age_max"":18},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-CHILD18-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",education_learning.barrier_risk_trust,학습 품질,58,57.94604979907495,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-06,DOM-24,,모바일 사용은 높지만 사업 디지털화가 낮은 소상공인,enterprise,"{""and"":[""small_business"",""high_mobile_use"",""low_business_digitization""]}",191037.5,611360.0,1375649.82,0.025,0.08,0.18,"{""control_id"":""CTL-ENT-ALL-2024"",""count_base"":7642000.0,""dimensions"":{""enterprise_status"":""active"",""preliminary"":true},""entity_unit"":""enterprise"",""period"":""2024-12-31""}",explicit_exploratory_joint_scenario_E,CTL-ENT-ALL-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-BD-2024-P"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",small_business_digital.barrier_risk_trust,디지털 학습 부담,4,3.997524382184714,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-07,DOM-20,,은퇴 전후 부모·배우자 돌봄 부담이 있는 50~60대 가구,household,"{""and"":[""adult_age_50_69"",""near_retirement"",""parent_or_spouse_care_burden""]}",459940.0,1379820.0,2989610.0,0.02,0.06,0.13,"{""control_id"":""CTL-HH-TOTAL-2024"",""count_base"":22997000.0,""dimensions"":{""household_scope"":""total""},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-TOTAL-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",senior_retirement_care.object,건강·요양,245,240.12455680861322,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-08,DOM-17,,영유아 자녀를 둔 맞벌이 보호자 가구,household,"{""and"":[""child_age_0_5"",""dual_income_household"",""guardian_decision_unit""]}",180680.0,542040.0,1084080.0,0.04,0.12,0.24,"{""control_id"":""CTL-HH-CHILD18-2024"",""count_base"":4517000.0,""dimensions"":{""children_age_max"":18},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-CHILD18-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",parenting_childcare.motivation_job,일·가정 양립,41,40.97039498249695,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-09,DOM-10,,고빈도 국내여행 1인 가구,household,"{""and"":[""one_person_household"",""frequent_domestic_travel""]}",120675.0,482700.0,1126300.0,0.015,0.06,0.14,"{""control_id"":""CTL-HH-GENERAL-SIZE1-2024"",""count_base"":8045000.0,""dimensions"":{""household_scope"":""general"",""household_size"":1},""entity_unit"":""household"",""period"":""2024-11-01""}",explicit_exploratory_joint_scenario_E,CTL-HH-GENERAL-SIZE1-2024 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-KOSTAT-CENSUS-2024"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",travel_hospitality.object,국내 단기여행,11,10.993465003789154,[],query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
PARENT-10,DOM-07,,비용민감도와 편의중시가 동시에 높은 중복 tag 사례,person,"{""and"":[""price_sensitive_tag"",""convenience_orientation_tag""]}",1097308.7,3950311.32,8778469.6,0.025,0.09,0.2,"{""control_id"":""CTL-ADULT-19P-RESIDENT-2024-12"",""count_base"":43892348.0,""dimensions"":{""age_min"":19,""universe"":""resident_registration_excludes_foreigners""},""entity_unit"":""person"",""period"":""2024-12-31""}",explicit_exploratory_joint_scenario_E,CTL-ADULT-19P-RESIDENT-2024-12 × explicit Low/Base/High query prevalence scenario; no unsupported marginal multiplication,"[""REL-MOIS-AGE-2024-12"",""REL-NVIDIA-NPK-1.0""]",E,"[""Cases 2–10 are explicit scenario priors over an official entity-unit control, not official joint prevalence."",""Subtype shares are conditioned on an actual stored domain-axis score in the revision-pinned weighted Nemotron sample."",""Household and enterprise cases use an adult decision-maker/owner-operator proxy; no one-person-to-one-entity claim is made.""]","[""missing_joint_distribution"",""query_prevalence_requires_external_validation"",""synthetic_decision_maker_proxy""]",dining_delivery_cafe.motivation_job,편의,5,4.998338834198056,"[""편의"",""배달비·가격""]",query_defined_exploratory_parent_not_official_prevalence,kr-v0.2.1,RUN-P2-20260824T170416Z
